timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-1.9091578750462925,-0.11900471384454453,-0.7191107366008473,-0.2871769802953882,-0.2871769802953882
2,0.1,-1.9091578750462925,-0.11900471384454453,-0.7191107366008473,-0.2871769802953882,-0.5743539605907764
3,0.1,-1.9091578750462925,-0.11900471384454453,-0.7191107366008473,-0.2871769802953882,-0.8615309408861646
4,0.1,-1.9091578750462925,-0.11900471384454453,-0.7191107366008473,-0.2871769802953882,-1.1487079211815527
5,0.1,-1.9091578750462925,-0.11900471384454453,-0.7191107366008473,-0.2867472456487703,-1.435455166830323
6,0.1,-1.9079296031609085,-0.1192598936892671,-0.7153306662682377,-0.2858655403716426,-1.7213207072019656
7,0.1,-1.9055226308255118,-0.11972480958448123,-0.7082745349806995,-0.2845326428412984,-2.005853350043264
8,0.1,-1.9019742279027931,-0.12035950770372367,-0.6983791508655567,-0.28276664674115437,-2.2886199967844183
9,0.1,-1.8973153671460294,-0.12112922861795394,-0.6860230809664901,-0.2805999927197864,-2.5692199895042047
10,0.1,-1.8915764963224615,-0.12200396476628284,-0.6715368486596333,-0.27807507267761533,-2.84729506218182
11,0.1,-1.8847888533486608,-0.12295796120225722,-0.6552092413260886,-0.27524065796754116,-3.122535720149361
12,0.1,-1.8769849113450099,-0.12396921099868596,-0.6372928013581501,-0.27214256410583604,-3.394678284255197
13,0.1,-1.8681890512265558,-0.12501896781194854,-0.6179993731070703,-0.26884191016027226,-3.663520194415469
14,0.1,-1.8584462462871478,-0.12609131041071003,-0.5975331421800476,-0.2653916636953011,-3.9289118581107703
15,0.1,-1.8477914612833173,-0.12717275397043748,-0.5760639215789424,-0.261843036502442,-4.190754894613212
16,0.1,-1.8362598234475858,-0.12825189286366157,-0.5537408948109702,-0.25824452793065333,-4.448999422543865
17,0.1,-1.8238862726652159,-0.12931909544506454,-0.5306953182145706,-0.25464122390597965,-4.703640646449845
18,0.1,-1.810705225822551,-0.13036624036196282,-0.5070428222029228,-0.25107433979901495,-4.9547149862488595
