timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-0.4200766937153291,-0.0018799440707142345,-0.40127725300818673,1.0858759878020747,1.0858759878020747
2,0.1,-0.4200766937153291,-0.0018799440707142345,-0.40127725300818673,1.0858759878020747,2.1717519756041495
3,0.1,-0.4200766937153291,-0.0018799440707142345,-0.40127725300818673,1.0858759878020747,3.2576279634062244
4,0.1,-0.4200766937153291,-0.0018799440707142345,-0.40127725300818673,1.0858759878020747,4.343503951208299
5,0.1,-0.4200766937153291,-0.0018799440707142345,-0.40127725300818673,1.0847505383278957,5.428254489536195
6,0.1,-0.420759869660034,-0.002031435480618682,-0.40044551485384716,1.082705965579768,6.5109604551159626
7,0.1,-0.4219768195607017,-0.0023083882594955307,-0.3988929369657464,1.0799164132291037,7.590876868345067
8,0.1,-0.42360123888858026,-0.0026885607580194315,-0.39671563130838594,1.076528065575094,8.66740493392016
9,0.1,-0.42552735291812577,-0.0031530458000458284,-0.3939968949176675,1.0726637041367098,9.74006863805687
10,0.1,-0.4276659390735015,-0.0036858373181554716,-0.39080756589194676,1.0684260385209188,10.808494676577789
11,0.1,-0.42994227825400694,-0.004273429785923266,-0.3872079803947743,1.0639006849754455,11.872395361553234
12,0.1,-0.4322941971896091,-0.004904457419789399,-0.3832496229917151,1.0591570618362511,12.931552423389485
13,0.1,-0.43467411117735927,-0.005569378124047175,-0.3789803299368875,1.054256037576069,13.985808460965554
14,0.1,-0.43703542796314343,-0.006260191661976056,-0.3744335113433829,1.0492462876703779,15.035054748635932
15,0.1,-0.43934361475619793,-0.00697019512171837,-0.36964166353901423,1.044167925421854,16.079222674057785
16,0.1,-0.44157059874466137,-0.007693779838222392,-0.36463280036243745,1.0390539242145334,17.118276598272317
17,0.1,-0.4436936990510344,-0.008426255400650506,-0.35943114504452933,1.0339313124088414,18.15220791068116
18,0.1,-0.44569473213639593,-0.0091637004262492,-0.35405772787390394,1.0288221826250998,19.18103009330626
19,0.1,-0.4475592459051572,-0.009902836560881145,-0.34853088029634577,1.0237445383096961,20.204774631615955
20,0.1,-0.4492758748216184,-0.010640922447784473,-0.34286665034377367,1.0187112897517658,21.223485921367722
21,0.1,-0.45084004687897883,-0.011375669121278964,-0.3370833556661892,1.0137345852515047,22.237220506619227
22,0.1,-0.4522443167026539,-0.0121051648811763,-0.3311926678908909,1.0088242398416174,23.246044746460846
23,0.1,-0.453483023543321,-0.012827807942599911,-0.32520494411732187,1.0039881464398395,24.250032892900684
24,0.1,-0.45455197671972386,-0.013542254591759784,-0.319129430802126,0.9992326173828281,25.24926551028351
25,0.1,-0.4554481948483576,-0.01424737605001103,-0.3129744343482473,0.9945626708639621,26.243828181147475
26,0.1,-0.4561696816834507,-0.014942222618560486,-0.3067474554978458,0.9899822645682823,27.233810445715758
27,0.1,-0.45671525055706746,-0.01562599390617314,-0.30045531149533605,0.9854944890123133,28.219304934728072
28,0.1,-0.4570843798253146,-0.01629801413967985,-0.2941042384285161,0.9811017273575543,29.200406662085626
29,0.1,-0.4572770940787708,-0.01695771170652388,-0.287699977013532,0.976805787366507,30.177212449452135
30,0.1,-0.4572938667094429,-0.017604602216197196,-0.2812478445474709,0.9726080102330944,31.14982045968523
31,0.1,-0.4571355401577859,-0.01823827448410481,-0.2747527953167378,0.9685093602421347,32.11832981992737
32,0.1,-0.4568032607473396,-0.018858378939929532,-0.2682194713480443,0.9645106212586426,33.08284044118601
33,0.1,-0.4562980396983185,-0.019464617619038338,-0.2616518635079351,0.9606120864215968,34.043452527607606
34,0.1,-0.45562187664251486,-0.020056736687251164,-0.2550545097700032,0.9568138762312486,35.00026640383886
35,0.1,-0.454776896888388,-0.02063452071530203,-0.24843168973536772,0.9531159765421077,35.953382380380965
36,0.1,-0.4537653284942049,-0.02119778716815529,-0.24178745681265199,0.9495182692714703,36.90290064965244
37,0.1,-0.4525894848471408,-0.021746381847233875,-0.23512566637480203,0.946020557782803,37.84892120743524
38,0.1,-0.45125174940034934,-0.02228017511957142,-0.22844999820463513,0.9426225874130953,38.79154379484834
39,0.1,-0.4497545636527198,-0.022799058795390237,-0.22176397569881742,0.9393240620126263,39.73086785686096
40,0.1,-0.44810041771859543,-0.023302943541072707,-0.2150709823078684,0.9361246572125834,40.66699251407354
41,0.1,-0.44629184295416874,-0.023791756733895553,-0.2083742756152132,0.9330240310081347,41.60001654508168
42,0.1,-0.4443314062105095,-0.024265440681020267,-0.20167699940030684,0.9300218321400189,42.5300383772217
43,0.1,-0.4422217053645776,-0.02472395113861736,-0.194982193978404,0.9271177066713889,43.45715608389309
44,0.1,-0.439965365846501,-0.02516725607810577,-0.18829280506544327,0.9243113030855642,44.381467386978656
45,0.1,-0.4375650379361653,-0.025595334655687918,-0.1816116913792861,0.9216022761717292,45.30306966315039
46,0.1,-0.4350233946470518,-0.026008176348987277,-0.17494163115717903,0.9189902899174714,46.22205995306786
47,0.1,-0.43234313005183794,-0.02640578023090473,-0.16828532774279065,0.9164750195875093,47.13853497265537
48,0.1,-0.42952695793405515,-0.02678815435602999,-0.16164541437375524,0.9140561531354081,48.05259112579078
49,0.1,-0.4265776106743908,-0.027155315239271394,-0.15502445828167688,0.9117333920685577,48.96432451785933
50,0.1,-0.42349783829977417,-0.027507287409931913,-0.14842496420045503,0.909506451864829,49.87383096972416
