timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-2.863410537022064,-0.18394070420685882,-1.0240034949534758,-1.2154666149199642,-1.2154666149199642
2,0.1,-2.863410537022064,-0.18394070420685882,-1.0240034949534758,-1.2154666149199642,-2.4309332298399284
3,0.1,-2.863410537022064,-0.18394070420685882,-1.0240034949534758,-1.2154666149199642,-3.646399844759893
4,0.1,-2.863410537022064,-0.18394070420685882,-1.0240034949534758,-1.2154666149199642,-4.861866459679857
5,0.1,-2.863410537022064,-0.18394070420685882,-1.0240034949534758,-1.2129757724767918,-6.074842232156649
6,0.1,-2.861051575207555,-0.18427175397380502,-1.0183340354695052,-1.208239717869965,-7.283081950026614
7,0.1,-2.856507396628434,-0.1848756352195675,-1.0077510444327589,-1.201509868149556,-8.48459181817617
8,0.1,-2.849925516187822,-0.1857015856804214,-0.9929096593836083,-1.1930364753423928,-9.677628293518563
9,0.1,-2.8414338035912174,-0.18670561374008443,-0.9743776661903732,-1.1830684953961264,-10.860696788914689
10,0.1,-2.8311491336190002,-0.1878497317012604,-0.952651816606396,-1.1718491486586706,-12.03254593757336
11,0.1,-2.8191789626918213,-0.18910120072159842,-0.9281669554758374,-1.1596127122972275,-13.192158649870589
12,0.1,-2.8056222894152754,-0.19043183065017377,-0.9013039829135377,-1.1465666709832663,-14.338725320853854
13,0.1,-2.7905534131722876,-0.19181734327285582,-0.8723799804437291,-1.1329393446592466,-15.471664665513101
14,0.1,-2.774075235018254,-0.19323683063390096,-0.8417069286792446,-1.1189265696492923,-16.590591235162393
15,0.1,-2.756264635818166,-0.19467229010773845,-0.8095417347407816,-1.1047095247903487,-17.69530075995274
16,0.1,-2.7371922466062966,-0.19610820539171048,-0.776110192689192,-1.0904543716742299,-18.78575513162697
17,0.1,-2.716922956510369,-0.19753119716872636,-0.7416109848231056,-1.0763120910872834,-19.862067222714256
18,0.1,-2.6955163510561535,-0.1989297258216327,-0.7062190928398265,-1.0624185706721465,-20.924485793386403
19,0.1,-2.673027195204434,-0.2002938389510529,-0.6700888056939049,-1.0488948625821326,-21.973380655968533
20,0.1,-2.6495059110570214,-0.20161495722746636,-0.6333563387823579,-1.0358201756791585,-23.009200831647693
21,0.1,-2.6249585486040403,-0.20288565658634372,-0.5961019827406032,-1.0232929586424908,-24.032493790290182
22,0.1,-2.5994305798731547,-0.20409951245537705,-0.5584354553193844,-1.0113979147822283,-25.04389170507241
23,0.1,-2.57296416193366,-0.20525100648503258,-0.5204540970833342,-1.0002066492371835,-26.044098354309597
24,0.1,-2.545598582032074,-0.20633541687624568,-0.48224441326961753,-0.9897783590688587,-27.033876713378454
25,0.1,-2.517370670370593,-0.20734872517064495,-0.4438834186641434,-0.9801605899626102,-28.014037303341066
26,0.1,-2.4883152604989593,-0.20828753694826752,-0.4054398910162842,-0.9713899472336105,-28.985427250574677
27,0.1,-2.458465521132625,-0.20914901418553455,-0.3669753792772794,-0.9634928158302132,-29.94892006640489
28,0.1,-2.4278532567723476,-0.20993081728019813,-0.3285450839703663,-0.9564860804380981,-30.90540614684299
29,0.1,-2.3965091772231597,-0.210631055136278,-0.29019862586037987,-0.9503778385453003,-31.85578398538829
30,0.1,-2.364463136543542,-0.21124824195446035,-0.25198071699893865,-0.9451681008025667,-32.800952086190854
31,0.1,-2.331744342142048,-0.2117812595891797,-0.21393174625025085,-0.9408494744037506,-33.7418015605946
32,0.1,-2.298381535223237,-0.21222932451801135,-0.17608829004312318,-0.9374188190354522,-34.67922037963005
33,0.1,-2.264465914461615,-0.21259202964824642,-0.13854561797915055,-0.9348481561071871,-35.61406853573724
34,0.1,-2.2300201949180805,-0.2128693119296683,-0.10132707562139769,-0.933105253904889,-36.54717378964213
35,0.1,-2.195067736046719,-0.21306135082251032,-0.06445422782161578,-0.9321540661386887,-37.47932785578082
36,0.1,-2.159632513679177,-0.21316854744374059,-0.027947039241771183,-0.9319551630176173,-38.411283018798436
37,0.1,-2.1237389612866857,-0.2131915054144402,0.008176092857716456,-0.9324661753783652,-39.3437491941768
38,0.1,-2.087411956596044,-0.21313101312022198,0.04389817460617591,-0.9336422200175489,-40.27739141419435
39,0.1,-2.05067679835855,-0.2129880273013578,0.07920347465502801,-0.9354363058926949,-41.21282772008704
40,0.1,-2.0135591742989707,-0.21276365776118222,0.11407740331285168,-0.9377997208946791,-42.15062744098172
41,0.1,-1.9760851215506086,-0.21245915302525198,0.14850640870191123,-0.9406823989457842,-43.091309839927504
42,0.1,-1.9382809805602397,-0.21207588682003298,0.18247788764009013,-0.944033267246547,-44.03534310717405
43,0.1,-1.9001733434550954,-0.21161534526939363,0.215980109238841,-0.9478005735503587,-44.98314368072441
44,0.1,-1.8617889978545425,-0.2110791147312776,0.24900214945823348,-0.9519321933935971,-45.935075874118006
45,0.1,-1.8231548670842193,-0.21046887021640348,0.2815338350798156,-0.9563759172557138,-46.89145179137372
46,0.1,-1.7842979477138567,-0.2097863643464164,0.3135656957503073,-0.9610797176713102,-47.85253150904503
47,0.1,-1.74524524529418,-0.20903341682119692,0.34508892291778914,-0.9659919963669488,-48.818523505411974
