timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-3.7887970663774104,-0.29903137744098174,-0.7984832919675927,-2.1529610616232446,-2.1529610616232446
2,0.1,-3.7887970663774104,-0.29903137744098174,-0.7984832919675927,-2.1529610616232446,-4.305922123246489
3,0.1,-3.7887970663774104,-0.29903137744098174,-0.7984832919675927,-2.1529610616232446,-6.458883184869734
4,0.1,-3.7887970663774104,-0.29903137744098174,-0.7984832919675927,-2.1529610616232446,-8.611844246492979
5,0.1,-3.7887970663774104,-0.29903137744098174,-0.7984832919675927,-2.1493072302718836,-10.761151476764862
6,0.1,-3.7840660625617604,-0.2993084465228272,-0.7909815973334887,-2.1424677817690845,-12.903619258533947
7,0.1,-3.7750885694019547,-0.299811013538546,-0.7769784340164948,-2.132922931751598,-15.036542190285545
8,0.1,-3.7622622188068067,-0.30049215542991436,-0.7573406645076629,-2.130466844345201,-17.167009034630745
9,0.1,-3.757430439196821,-0.30131901371490344,-0.7442403020477867,-2.1167583427431893,-19.283767377373934
10,0.1,-3.7379759736851152,-0.30224796145965743,-0.7154963590885411,-2.1871309065968845,-21.47089828397082
11,0.1,-3.828379256170499,-0.2985597530116413,-0.8427817260540862,-2.1681599522860004,-23.63905823625682
12,0.1,-3.8051970487785916,-0.2997932319449111,-0.8072647293294807,-2.1483075550058697,-25.787365791262687
13,0.1,-3.779640945496201,-0.30106067698292927,-0.769034175666908,-2.127980935228183,-27.91534672649087
14,0.1,-3.751889568630479,-0.30233896099990454,-0.7284999586314335,-2.1073750943301413,-30.022721820821012
15,0.1,-3.721867943982062,-0.3036077706193777,-0.6857902377882851,-2.0868673753655504,-32.10958919618656
16,0.1,-3.68973319487702,-0.3048492214550565,-0.641240980326455,-2.0667986384782204,-34.17638783466478
17,0.1,-3.6556252988426063,-0.3060477240796422,-0.5951480580461842,-2.0474731265142494,-36.22386096117903
18,0.1,-3.6196695591725763,-0.3071897319428124,-0.5477722397444525,-2.0291590065660188,-38.25301996774505
19,0.1,-3.5819792665321035,-0.308263524647022,-0.49934402006188344,-2.012088842963903,-40.26510881070895
