timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-2.8637848059436353,-0.20171964182426455,-0.8465883877009898,-1.2221455651436548,-1.2221455651436548
2,0.1,-2.8637848059436353,-0.2017196418242646,-0.8465883877009894,-1.2221455651436548,-2.4442911302873096
3,0.1,-2.8637848059436353,-0.2017196418242646,-0.8465883877009894,-1.2221455651436548,-3.6664366954309644
4,0.1,-2.8637848059436353,-0.2017196418242646,-0.8465883877009894,-1.2221455651436548,-4.888582260574619
5,0.1,-2.8637848059436353,-0.2017196418242646,-0.8465883877009894,-1.21996245221731,-6.108544712791929
6,0.1,-2.8610152267723183,-0.20200970395955586,-0.8409181871767595,-1.2158209346473297,-7.324365647439258
7,0.1,-2.8557100172998684,-0.20253762044350054,-0.8303338128648629,-1.2099571067224115,-8.53432275416167
8,0.1,-2.8480612390685214,-0.20325707511315327,-0.8154904879369885,-1.2026097798152016,-9.736932533976871
9,0.1,-2.838230322204393,-0.20412742497291259,-0.7969560724752672,-1.1940190468155163,-10.930951580792387
10,0.1,-2.8263608544010963,-0.20511326588404444,-0.7752281955606518,-1.184420608458264,-12.115372189250651
11,0.1,-2.8125822880183735,-0.20618391318231,-0.7507431561952738,-1.1740416316912672,-13.289413820941919
12,0.1,-2.797012392126086,-0.20731286717553887,-0.723883720370697,-1.1630826779187413,-14.45249649886066
13,0.1,-2.779739357091124,-0.20847728828096423,-0.6949664742814815,-1.1517636303975063,-15.604260129258165
14,0.1,-2.7608841497149212,-0.20965753910313767,-0.6643087586835444,-1.1402711336939984,-16.744531262952165
15,0.1,-2.7405377049090953,-0.21083677876189455,-0.63216991729015,-1.128775959049541,-17.873307222001706
16,0.1,-2.7187840335899693,-0.21200057721631627,-0.5987782614268066,-1.1174325737461497,-18.990739795747857
17,0.1,-2.695700943789414,-0.21313659107204996,-0.5643350330689143,-1.1063789872640482,-20.097118783011904
18,0.1,-2.6713606041587616,-0.21423428295806346,-0.529017774578127,-1.0957369039567506,-21.192855686968656
19,0.1,-2.6458301069548775,-0.2152846798352188,-0.4929833086026897,-1.0856120864172834,-22.27846777338594
20,0.1,-2.6191719903894537,-0.21628016560224325,-0.45637033436702135,-1.0760720978453724,-23.354539871231314
21,0.1,-2.59139856445789,-0.21721425781520717,-0.41925598630581856,-1.0671988866455244,-24.421738757876838
22,0.1,-2.562567368540727,-0.21808145505132037,-0.38175281802752314,-1.0590598989680773,-25.480798656844915
23,0.1,-2.5327324159027085,-0.21887715505962602,-0.34396086530644837,-1.051708891863372,-26.532507548708285
24,0.1,-2.5019446331174278,-0.21959754508305807,-0.305969182286847,-1.0451867912529593,-27.577694339961244
25,0.1,-2.470252261402265,-0.22023950795256297,-0.2678571818766354,-1.0395226018659656,-28.61721694182721
26,0.1,-2.4377013131308405,-0.22080054162586604,-0.22969589687218,-1.0347342792197964,-29.651951221047007
27,0.1,-2.404335884031291,-0.22127869006508807,-0.19154898338040993,-1.030829604373743,-30.68278082542075
28,0.1,-2.3701984328583507,-0.22167248354254498,-0.1534735974329007,-1.0278070509442563,-31.710587876365008
29,0.1,-2.335330029290275,-0.22198088684606354,-0.11552116082963969,-1.02565663604927,-32.73624451241428
30,0.1,-2.299770571080362,-0.22220325408931663,-0.07773803018719587,-1.024360748678629,-33.76060526109291
31,0.1,-2.2635589715571918,-0.22233928903636802,-0.04016608119351174,-1.023894950591733,-34.784500211684644
32,0.1,-2.2267333190162115,-0.22238901002592604,-0.0028432187569509726,-1.0242267154734919,-35.80872692715813
33,0.1,-2.1894008469883146,-0.2223527986309737,0.03412713932142259,-1.0253132997962067,-36.83404022695434
34,0.1,-2.1515920375788253,-0.22223136246339026,0.07072158705507718,-1.0271086236340072,-37.86114885058835
35,0.1,-2.113337661605314,-0.22202562096424705,0.10691854803715638,-1.0295637652223226,-38.89071261581067
36,0.1,-2.074668726494628,-0.22173668334047303,0.14269810691010232,-1.0326274668826911,-39.923340082693365
37,0.1,-2.0356162824951656,-0.22136582827064766,0.1780420002113109,-1.0362466117997378,-40.959586694493105
38,0.1,-1.9962113947278415,-0.22091448512018808,0.21293345647403936,-1.040366672736039,-41.999953367229146
39,0.1,-1.956485107976358,-0.2203842166196206,0.24735705821984788,-1.0449321325172587,-43.04488549974641
40,0.1,-1.9164684052421121,-0.21977670280626252,0.28129862282051327,-1.0498868761733728,-44.09477237591978
41,0.1,-1.8761921613843453,-0.2190937260714163,0.3147450993298178,-1.0551745548228515,-45.14994693074263
42,0.1,-1.8356870927912377,-0.21833715718917768,0.3476844791005391,-1.060738921524502,-46.21068585226713
43,0.1,-1.7949837040216752,-0.21750894223005846,0.38010571827890943,-1.0665241394414284,-47.27720999170856
44,0.1,-1.7541122323321274,-0.21661109028429504,0.41199867051082284,-1.07247506276874,-48.3496850544773
45,0.1,-1.713102590962076,-0.2156456619368501,0.44335402840642524,-1.0785374909745218,-49.42822254545182
46,0.1,-1.6719843119989595,-0.21461475844946243,0.4741632724956648,-1.084658396994279,-50.512880942446095
47,0.1,-1.6307864895826205,-0.21352051161529673,0.5044186265703468,-1.0907861301042492,-51.603667072550344
48,0.1,-1.5895377241424433,-0.2123650742593779,0.5341130184513355,-1.0968705942790709,-52.70053766682941
49,0.1,-1.5482660682899319,-0.21115061136351843,0.5632400453452523,-1.1028634029142106,-53.80340106974362
50,0.1,-1.5069989749170087,-0.20987929179826192,0.5917939430656104,-1.1087180108632857,-54.91211908060691
51,0.1,-1.465763247977688,-0.20855328064683665,0.6197695584906783,-1.1143898248041746,-56.026508905411085
52,0.1,-1.4245849963590747,-0.20717473210751705,0.6471623247160959,-1.1198362930048826,-57.146345198415965
53,0.1,-1.383489591177848,-0.20574578296136628,0.6739682384358149,-1.125016975609956,-58.271362174025924
54,0.1,-1.3425016267715146,-0.2042685465923002,0.7001838391514874,-1.1298935966100405,-59.40125577063596
55,0.1,-1.3016448855902856,-0.20274510754593458,0.7258061898690604,-1.1344300786903303,-60.53568584932629
56,0.1,-1.2609423071358776,-0.20117751661288266,0.750832858992949,-1.1385925621779767,-61.67427841150427
57,0.1,-1.2204159610384977,-0.19956778642120554,0.7752619031735577,-1.1423494093233841,-62.816627820827655
58,0.1,-1.1800870243125212,-0.19791788752163209,0.7990918509037996,-1.1456711951560585,-63.96229901598372
59,0.1,-1.139975762785563,-0.19622974494808032,0.8223216866952403,-1.148530686152034,-65.11082970213575
60,0.1,-1.100101516654417,-0.19450523523494923,0.8449508356950752,-1.1509028079373405,-66.26173251007309
61,0.1,-1.060482690084854,-0.1927461838716713,0.866979148631859,-1.1527646032308603,-67.41449711330395
62,0.1,-1.0211367447403932,-0.1909543631741517,0.8884068870011239,-1.1541698073726385,-68.56866692067659
63,0.1,-0.9820002048329235,-0.1891314332244796,0.9093141274118723,-1.1550914089987132,-69.7237583296753
64,0.1,-0.9430986872408001,-0.18727895378429607,0.9296908506021605,-1.1555049718374928,-70.8792633015128
65,0.1,-0.904455655390572,-0.1853984497884964,0.949528842494392,-1.1553885416348146,-72.03465184314761
66,0.1,-0.8660925810617353,-0.18349140710054535,0.9688214899437182,-1.1547225440231057,-73.18937438717072
67,0.1,-0.8280290887975272,-0.1815592690651391,0.9875636018538638,-1.1534895163308476,-74.34286390350157
68,0.1,-0.790283244830648,-0.17960343387213087,1.0057510938906606,-1.1516740292768768,-75.49453793277844
