timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-2.8362714455444324,-0.3022797584026886,0.1865261384824537,-1.8436123302131175,-1.8436123302131175
2,0.1,-2.8362714455444324,-0.3022797584026886,0.1865261384824537,-1.8436123302131175,-3.687224660426235
3,0.1,-2.8362714455444324,-0.3022797584026886,0.1865261384824537,-1.8436123302131175,-5.530836990639353
4,0.1,-2.8362714455444324,-0.3022797584026886,0.1865261384824537,-1.8436123302131175,-7.37444932085247
5,0.1,-2.8362714455444324,-0.3022797584026886,0.1865261384824537,-1.8441499518678361,-9.218599272720306
6,0.1,-2.829925055959866,-0.30220669194102046,0.19214186345033848,-1.8452210071431876,-11.063820279863494
7,0.1,-2.818046599518302,-0.3020671149575358,0.20262455005705596,-1.8468524785908536,-12.910672758454348
8,0.1,-2.8013004041847847,-0.301862567426888,0.21732527008409544,-1.8490908337094192,-14.759763592163768
9,0.1,-2.7802357008825718,-0.3015917319957986,0.2356816190754142,-1.8519893737619324,-16.6117529659257
10,0.1,-2.7553249261962955,-0.30125185403876564,0.2571936141913609,-1.8556011637302747,-18.467354129655973
11,0.1,-2.726979638687144,-0.3008396622346079,0.281416983658935,-1.8599736745054953,-20.32732780416147
12,0.1,-2.6955623810534255,-0.30035194350306993,0.30795705397727396,-1.8651611218025586,-22.192488925964028
13,0.1,-2.6613535483604767,-0.2997858480060085,0.3365049316996084,-1.8711731755325653,-24.063662101496593
14,0.1,-2.6246892051974737,-0.29913910844224456,0.36670187922497177,-1.8780225191546895,-25.941684620651284
15,0.1,-2.585829708979373,-0.2984101606814107,0.39827189783473377,-1.8857078925596524,-27.827392513210935
16,0.1,-2.545011482508628,-0.29759811887473764,0.4309697062387484,-1.894214197832398,-29.721606711043332
17,0.1,-2.502450292338186,-0.2967027492429495,0.4645772000913086,-1.903513211717809,-31.62511992276114
18,0.1,-2.4583437131354966,-0.2957244206930978,0.49890049379548146,-1.9135646294447564,-33.53868455220589
19,0.1,-2.4128732273546967,-0.2946640434190493,0.533767206835796,-1.924317364464586,-35.46300191667048
20,0.1,-2.3662059641541773,-0.2935230028697664,0.5690240645434869,-1.9357677156366697,-37.39876963230715
21,0.1,-2.3184111190538337,-0.29230301666834047,0.6046190476295707,-1.9478489984685383,-39.34661863077569
22,0.1,-2.2696380237790668,-0.2910060826720764,0.6404228029416972,-1.9604875166763969,-41.30710614745208
23,0.1,-2.2200249165671955,-0.2896345081161804,0.6763201645946086,-1.9736041064545884,-43.28071025390667
24,0.1,-2.1696999327813242,-0.2881908554445194,0.7122086216638698,-1.9871156286864329,-45.2678258825931
25,0.1,-2.1187819652753874,-0.28667789270434274,0.7479969617680399,-2.0009362353124964,-47.268762117905595
26,0.1,-2.0673815860734273,-0.28509854876745755,0.7836039016011482,-2.014978678293138,-49.283740796198735
27,0.1,-2.0156016734965547,-0.28345587322244636,0.818957058727909,-2.0291554996590078,-51.31289629585774
28,0.1,-1.9635379667690351,-0.28175300052772023,0.8539920385081671,-2.043380093505152,-53.35627638936289
29,0.1,-1.9112795586714673,-0.2799931181432853,0.888651622761386,-2.0575676360137507,-55.41384402537664
30,0.1,-1.8589093350413728,-0.2781794383350713,0.9228850483093403,-2.071635884055147,-57.48547990943179
31,0.1,-1.8065043682138904,-0.27631517334520317,0.9566473652381412,-2.085505845725479,-59.57098575515727
32,0.1,-1.75413627085508,-0.2744035136347127,0.989898865492047,-2.0989969972897207,-61.669982752446984
33,0.1,-1.7019756210231456,-0.27244767245989077,1.022501103575762,-2.1120475643086465,-63.78203031675563
34,0.1,-1.650071540329897,-0.2704508496773612,1.0544369564437153,-2.1246001169432542,-65.90663043369888
35,0.1,-1.5984698987658785,-0.2684161414098558,1.0856915153326796,-2.1366017107876996,-68.04323214448658
36,0.1,-1.5472133971042632,-0.26634653294191346,1.1162519323148714,-2.1480041859001355,-70.19123633038672
37,0.1,-1.4963414460778823,-0.2642448929336765,1.1461074832588825,-2.1587641373152815,-72.350000467702
